Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Belarus,BLR,1.157,1.215,1.239,1.225,1.022,1.539,1.549,1.755,1.695996,1.821996,1.807,1.266,1.9151,1.9004,2.8839,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Belgium,BEL,705.13,740.386,755.193,981.682,1427.499,1067.351,1241.293,1369.89982037629,1560.81076,1596.3044,1479.9763156,1505.4059084,1574.378609,1285.344187,1353.426977272,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Belize,BLZ,..,..,..,..,..,0.069925233,0.0750827301877635,0.0608348499918917,1.19620662,3.00429486,2.463420011,2.689022193,3.746059438,0,0,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Benin,BEN,..,..,..,..,..,0,0.441834952,0.441834952,1.265124,0.553884,0.805347336,0.006442778,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Bhutan,BTN,0.253,0.263,0.279,0.264,0.448,0.421937731663489,0.483705822187223,0.471,0.635292,0.922884,0.538041372,0.65910068,0.530672,0.690916,0.318844,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Bolivia,BOL,25.295,10.714,8.718,8.755,6.871,11.236595977,17.4124617143146,12.3003149495376,7.993202,8.78072557707694,9.93479748637544,9.008756313,9.48554381985556,13.7284774028928,22.980404,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Bosnia and Herzegovina,BIH,..,..,..,..,0,0.00133914808477711,0.00107131846782169,0.000781857938806923,0.000528,0.000408,8.7E-05,..,..,0,0,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Botswana,BWA,0.315,0,..,..,0,0.121,0.121,0.129878466595379,0.141492,0.107736,..,..,0.14564,0.113606,0.11861176345971,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Brazil,BRA,1530.675,1412.26,1477.828,1807.062,1782.3,1302.474647875,1294.49545,1363.447091,1637.382,1596.774,1493.939,1513.832873341,1736.549227,1845.64776,1521.14944,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Brunei Darussalam,BRN,134.136,130.181,116.368,104.195,90.441,148.524,149.579,128.234,127.595004,115.389,115.147,124.259,132.612,129.352,122.45694,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Bulgaria,BGR,3.105,3.38,2.952,2.278,1.73,2.13518,2.29862,1.93406,1.731,1.722,1.53095,1.76924764650873,1.71896,1.375,1.257,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Burkina Faso,BFA,0,0,..,..,0,0.101,0.0858059556370593,0.0711111031412642,0.062208,0.05088,0.055868736,0.022020102,0.022108182,0.104614,0.10746804,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Cabo Verde,CPV,1.506,1.79,1.611,1.574,1.426,1.641,1.95548997224695,2.17938738529673,1.941924,1.882368,..,..,..,0.048636,0.049965,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Cambodia,KHM,1.202,1.111,2.03,0.661,0.987,0.022663075938342,0.0951600512,0.0681726118818161,1.07095376052747,1.75384,2.30126,1.441695,0.876,0.67645,0.68860716,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Cameroon,CMR,24.399,29.001,26.095,25.522,23.105,0,0,0,0,..,..,..,..,0.066817,0,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Canada,CAN,1526.819,1503.185,1429.845,1388.665,1346.938,1957.32853635002,1980,1960,1946.30559714895,2084.318163,2074.830881067,2246.22709557467,2840.9851350232,2482,2395.13,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Chad,TCD,..,..,..,..,..,0,0.778287172,0.551042455537152,0.456396,0.471912,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Chile,CHL,1053.819,1027.669,1294.967,1307.721,1179.048,1399.549392,1422.29934,1527.067,1512.319,1553.479,1392.236,1441.23,1237.960141,1226.44199,1232.41109,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,China,CHN,7579.401,7692.205,11189.538,11386.055,11976.438,17193.8774,16764.869,15568.753,16053.7331,17822.581,19805.63,21304.5851,23323.6147,25256.2071,25394.5878,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Colombia,COL,1092.492,1051.293,1070.449,1099.545,2419.933,954.66013894833,968.160358466796,918.324091591658,1222.15686718904,1315.40395631937,1316.795809466,1142.854709203,1273.568638,1350.008974,1547.674684,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,"Congo, Dem. Rep.",COD,..,..,..,..,..,0,0,0.206531325,0.081984,0.084444,0.0858397685950413,0.058456882,0.228606,0.915105,0.7512,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,"Congo, Rep.",COG,..,..,..,..,..,1.86657368035625,1.43488058350513,1.59781520479946,2.384004,1.992936,4.36693937329617,4.52411089880374,4.59716061898045,4.59716061898045,4.15110874340146,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Costa Rica,CRI,10.351,10.04,10.241,10.63,9.099,15.6977120470821,16.867234240556,15.744,13.537781,11.8182973850146,9.28416,6.027344,10.552031,11.13032,10.8,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Cote d'Ivoire,CIV,..,..,..,..,..,15.376963961,2.70860361698403,0,4.563948,4.71912,0.983368072842825,1.20223033825879,5.41940666666667,4.16026898442412,0,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Croatia,HRV,3.999,3.336,2.218,2.326,1.921,1.516001,1.67474,1.738189,1.47223,0.97639,0.77532,0.65658,0.58275,0.52979,0.4406,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Cuba,CUB,30.879,30.15,30.617,31.692,26.785,0,18.4269139282398,17.175734601839,16.930008,17.313204,20.9196451071138,26.0034145040302,47.76014,17.76123,13.709508666,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Cyprus,CYP,47.964,47.815,49.376,47.549,38.312,36.2141,16.9749,9.1093,11.592996,6.588588,0.23060058,0.285895446767606,0.34031950189,0.021,0.14,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Czech Republic,CZE,38.757,39.363,32.61,27.174,22.379,17.987,16.721,11.102,19.929,30.81553,26.71765,25.294469,27.81465,25.22637,22.73254,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Dominican Republic,DOM,..,..,..,..,..,0,0,0,0,..,..,..,..,0,0,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Ecuador,ECU,5.439,5.874,5.615,4.662,3.229,129.7315,126.4039,121.402590579105,112.059962,82.101,64.037777,60.17416,57.68029,64.20469,50.80511,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,"Egypt, Arab Rep.",EGY,286.954,309.434,206.828,195.482,180.31,416.985098697369,333.306675121003,356.265453827017,386.683474639046,418.691607425321,377.360014527,374.357162291,403.828739,437.625328,483.4138791,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,El Salvador,SLV,20.8,20.176,21.987,18.439,15.291,10.9670984067361,14.662,17.065,15.65233,16.40872,13.873884,13.155752,13.765785,10.73322,13.107,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Equatorial Guinea,GNQ,..,..,..,..,..,0,0.225400162,0.7676275685,0.36126,0.31788,0.46165020845874,0.358277746,0.418783315,0,0,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Estonia,EST,1.302,1.083,1.04,0.974,0.576,4.148,4.871,2.252,0.108996,0.900996,0.870362136,0.003,..,0,0,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Eswatini,SWZ,..,..,..,..,..,..,..,..,..,..,..,..,..,0.056064,0.043615,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Ethiopia,ETH,132.601,157.184,160.322,227.762,424.472,407.062,505.565,703.644,790.74339,950.1573,1228.73832,1500.14753,2076.18502,2089.27754,2450.27296,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Fiji,FJI,92.108,95.792,101.54,96.057,65.564,77.084703141,84.6407332797888,90.9405521462482,69.333,78.513996,83.6865043020511,86.955,102.59573,106.8282,108.9135,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Finland,FIN,353.576,408.775,489.674,542.623,484.365,728.823996721215,740.085265,690.866320824715,660.802462,667.07538,713.484,761.85394,852.01263,957.63859,1067.31511,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,France,FRA,5802.442,6135.028,6424.966,6187.796,6624.89,5079.71814764909,5068.76226392762,4626.15380961188,4327.126,4151.293,4098.31,4155.407,4260.597,4443.789,4522.586,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Gabon,GAB,65.542,77.975,70.174,67.986,61.742,0,0,0,0,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,"Gambia, The",GMB,..,..,..,..,..,0,0,0.15528396,2.172012,2.24586,0.07411338,..,..,0,0,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Georgia,GEO,2.751,2.889,2.946,2.913,2.43,0.879364,0.929,0.43518,0.4,0.4162,0.18504,0.18050796,0.4784,0.7509,0.62758995,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Germany,DEU,7722.133,8133.987,8528.959,8352.882,10187.719,7487.48100076523,7716.76190298526,7236.98063027006,7335.69940204315,7184.14620802563,6986.405444999,6942.706331998,7901.65234423,7969.86364,7763.61921423928,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Ghana,GHA,..,..,..,..,..,5.22980484930983,3.56603511599799,2.41801639475519,1.31802,1.332792,0.844630332,0.846429394,0.262714068,0,0,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Greece,GRC,64.075,70.649,72.242,78.109,31.396,4.85169832333462,4.18568526670255,2.31403046797287,0.593232,19.359432,26.10771098,23.993,23.525,21.909,23.90576,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Guam,GUM,..,..,..,57.96,48.607,..,..,..,..,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Guatemala,GTM,..,..,..,..,..,4.090865359,4.18679866601752,3.7122254448016,0,0.09123,0.45552,0.63203,0.546373,0.107366,0.0273,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Guyana,GUY,..,..,..,..,..,0.925987427,1.23149676596269,0.941436372233282,0,0,..,..,..,0.100011,0.0475892117738182,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Honduras,HND,..,..,..,..,..,2.248762813,1.83021841731528,2.04647355444776,1.97274,0.851628,0.50237232,0.399566257,0.229947,0.44987,0.25658354,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,"Hong Kong SAR, China",HKG,7763.873,8325.969,10028.957,8985.895,13293.176,10373.434773,10053.898445,9468.41800958361,9396.48053,10826.12281,11294.272491,11409.118758,12415.19932,12676.721747,11739.489567,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Hungary,HUN,21.429,20,27.161,11.755,9.804,5.60895570713066,5.85295,0.467678756906942,0,..,..,..,..,0,0,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Iceland,ISL,121.548,138.614,141.386,127.4,133.082,79.124198,82.068191,98.30421,99.153358,96.01941,107.696809,128.008190221,166.75235,163.646108143,138.653502,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,India,IND,774.04,842.55,967.684,1233.937,1235.158,1630.96414222155,1702.702702,1579.229879,1733.76172,1851.32674,1833.847614,1893.8815,2407.098107,2703.96417383,1938.232596,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Indonesia,IDN,439.773,469.222,484.52,394.583,276.918,665.663628453711,754.297938393013,880.340263956616,768.23502,902.116486410853,758.705163350469,974.556289,1052.36048,1131.913455454,981.74186,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,"Iran, Islamic Rep.",IRN,98.218,91.86,95.425,97.324,95.769,96.5379373693632,85.8763078604792,66.2338138748408,84.4590590839086,96.4385837752481,95.9107033490603,139.17528859407,325.668724283288,169.797251,152.258660678818,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Iraq,IRQ,..,..,..,..,..,11.718644551,14.5213731897664,15.3356283184479,10.619112,10.619112,1.218202664,0.9519664068,15.587857428,16.199317,0,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Ireland,IRL,106.997,130.503,125.283,122.241,120.852,138.475121701,123.452121701029,123.110099893906,118.253832,126.164748,138.58,118.207,154.38504,168.7117,174.5404,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Israel,ISR,1213.475,1124.374,1132.878,901.863,984.612,856.431,883.418,810.909456005204,801.730584,651.238996,758.633996,783.925,912.898,994.542,889.334,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Italy,ITA,1365.128,1377.204,1549.939,1279.021,400,784.96985,760.26837,795.11615,892.930674,989.179882,945.2649666,1083.244836,1437.245062,1418.004731,1344.955151,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Jamaica,JAM,15.823,15.348,15.655,16.25,10.272,0,0,0,0,..,1.396,4.506984,2.83938,4.58628,0,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Japan,JPN,8549.241,8480.024,8435.069,8172.807,10485.665,7698.79769790059,6545.945,7045.781,7715.927,8661.758,8661.758,9360.888,10684.574,9420.659,8919.48,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Jordan,JOR,223.582,258.557,276.656,140.846,163.192,201.985,196.184547,188.06493,172.126,171.97,169.105,144.211200649,158.95506,175.8386,153.56892,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Kazakhstan,KAZ,15.825,16.382,17.212,16.487,14.584,42.379,50.977,53.977,58.199004,44.61,37.669008,38.89446,49.5077,49.64306,48.897863,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Kenya,KEN,253.163,301.219,298.083,295.183,271.562,279.990902805,191.160655418998,234.568543129171,258.081012,248.56658,233.104791944,257.576935754,275.512276845,295.047760350297,320.952554616571,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,"Korea, Dem. People's Rep.",PRK,2.198,2.286,2.423,2.292,1.989,1.619251323,1.36480373536981,2.78623695860264,3.039168,0.342349878934625,0.288,0.230111998,0.251493238,0.490188,0.487101,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,"Korea, Rep.",KOR,7432.57,7751.658,9039.721,8726.809,15162.607,12942.727326,12381.6339,12290.68063,11112.514602,11124.72618,11293.801266,10805.992,11511.801211,11518.6260683819,10664.3782296361,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Kuwait,KWT,241.623,239.207,266.337,279.74,281.215,335.099445284,277.544065677216,267.254,245.968996,267.877606,216.335004,223.005444,309.864884,392.363053,364.649349,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Kyrgyz Republic,KGZ,2.025,1.23,1.23,2.07,2.182,1.3027,1.486294,0.78235,0.59035,0.237168,0.06929,0.088343,0.02165,1.263266,0.458837,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Lao PDR,LAO,2.481,2.545,2.625,2.579,2.367,0.122,0.389,0.966483517914956,1.409832,1.37196,1.35649770065177,1.49602039,1.473259309,0.911447,0.910194,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Latvia,LVA,1.947,13.194,13.94,13.787,18.375,5.483,5.313543,4.057,3.759996,3.510996,2.277996,2.157,2.83108,4.01487,5.1637624,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Lebanon,LBN,86.61,73.556,81.743,66.621,93.983,48.272,47.699,50.619,70.098,59.58,54.077,45.558,53.387,56.569,51.70094,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Lesotho,LSO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Liberia,LBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Libya,LBY,0.3,0.324,0.288,0.464,0.365,7.52854005922458,5.72301943045061,2.1282547665725,3.672312,2.90666681323636,2.54943277629794,1.37789973,1.236961352,0.711155,0.758181,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Lithuania,LTU,1.295,1.296,1.177,1.289,7.425,2.6402227027027,2.291,3.056,4.99992,0.471265,0.56564667,0.472,0.472,0,0,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Luxembourg,LUX,5149.686,5270.266,5512.271,5357.932,8369.219,4573.109,4653.873,4402.974,5224.838626,5753.111628,6309.473324,6877.761503,7321.11217,7323.03958,7188.04334,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,"Macao SAR, China",MAC,169.805,180.83,185.079,98.06,32.116,36.71379,25.09099,19.06999,20.07111,23.87158,25.435,29.39461,32.76585,31.84376,26.02953,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Madagascar,MDG,15.363,18.773,23.941,12.188,14.27,23.775,21.2715163636364,24.97688,34.55841,31.07096,25.62026,11.96217,15.02506,16.24747,16.18255,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Malawi,MWI,1.364,1.601,1.438,1.589,1.384,0.554163455,0.509,0.317003019223559,0.005484,0.005484,0.005467548,0.007249968,0.0108797367,0.0108797367,0.00246400383690811,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Malaysia,MYS,2577.581,2597.404,2661.528,2444.462,2853.263,2564.65822417581,2193.26000841583,1943.95888344729,2161.992838,2193.300634,2005.979379448,1149.876958418,1455.20982395985,1359.12559,1378.744705,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Maldives,MDV,0.013,0.013,0.013,0.013,0.013,..,..,..,..,..,5.87870598184376,6.872800012,7.745645613,0,0,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Mali,MLI,..,..,..,..,..,8.328779694,9.11551389645065,5.4487094452797,1.19358,0,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Malta,MLT,11.106,11.661,11.894,11.763,6.672,6.733,6.352,5.266,3.541,3.422,3.352,2.442,2.63621,5.14323,2.4734492,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Marshall Islands,MHL,0.327,0.35,0.351,0.359,0.347,..,..,..,..,..,..,..,0.161087,0.133837,0.182569,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Mauritania,MRT,0.095,0.111,0.099,0.116,0.099,0.208132727142084,0.13925043909506,0,0,..,..,..,..,0,0,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Mauritius,MUS,211.715,194.842,202.814,191.185,153.031,179.321,178.132,172.006,171.534,192.99,168.773,157.239,196.047,233.717,213.641,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Mexico,MEX,390.425,456.958,482.34,482.785,714.057,908.948170756014,774.603519631098,763.886260561117,677.139988908,617.529552725,714.003211,760.849242,928.83550977,1062.987599,1072.52473,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Moldova,MDA,0.62,0.78,0.895,0.813,0.686,1.00226,1.18356,1.07716,0.831444,0.628572,0.48963,0.486910181772908,0.55191,0.6445,1.22908832,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Monaco,MCO,0,0,0,0,0,0,0,0,0,..,..,..,..,0,0,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Mongolia,MNG,6.069,6.34,5.364,5.927,2.562,3.900821,7.14949812767493,9.49361123844254,8.869308,13.211711025,7.843989,8.02203384325573,8.36736,7.819001,7.38543,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Montenegro,MNE,0.123,..,..,..,..,0,0,0,0,..,..,0.0587,0.1119,0.1345,0.15295,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Morocco,MAR,60.764,50.626,44.809,55.478,62.807,64.571,40.9843170717889,38.8408635811992,43.321464,47.000251,52.913598,53.82625368,77.93581,97.71152,102.19214,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Mozambique,MOZ,4.928,5.196,5.778,6.743,5.827,6.14,8.075,4.92238023654571,5.882496,5.36650299100094,4.86366165923809,4.37,3.557,4.775,6.347,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Myanmar,MMR,2.722,2.788,2.867,2.83,2.614,2.06226,3.53038,3.82987504054834,2.861556,3.90162,3.3857879,5.065285902,4.83393550069972,4.74216559835534,8.30683,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Namibia,NAM,0,0,..,..,0,0.484,0.692604,0.88838849653504,0.677064,34.36805,30.302405,21.084889,22.206886,26.293869,6.900144,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Nauru,NRU,..,..,..,..,2.85,6.34330383321339,8.41823060991166,8.43888748712717,7.270032,7.270032,7.793474304,9.718462457,7.939983827,10.34721,1.72681,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Nepal,NPL,6.936,7.212,7.643,7.233,6.282,6.463516539,6.48656488020303,5.76237493105865,5.759868,4.5996,4.536371616,4.895080058,4.5668399023,8.84572,5.847551,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Netherlands,NLD,4893.971,4959.004,5005.596,4903.379,4520.328,6444.38161844899,6347.25316032084,6014.58854749604,5753.728484,5726.179652,5292.794684592,4745.958515461,5855.480475616,5886.51490365179,5656.442,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,New Zealand,NZL,781.469,819,868.14,920.847,799.295,468.638,892.848,975.021,934.540524,999.3047112,1155.45872005615,1231.85419306685,1335.95320545677,1349.29523130803,1207.88220494,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Nicaragua,NIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Niger,NER,..,..,..,..,..,0,0,1.46578302,1.080708,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Nigeria,NGA,10.029,11.269,10.036,10.036,7.966,0,0,0,12.1983521811429,12.1983521811429,24.8019639339246,24.161930857,22.0015460675581,19.7929720673716,21.9751970392198,..
